item_id,范畴,次范畴,学习能力,项目,目标,备注（观察？）,评估辅助物品,评估方法,成功标准,最小月龄,最大月龄
0-0-0-2-2,大肌肉,大肌肉移动性活动,地上活动能力,四点跪,保持四点跪,暂无,暂无,暂无,暂无,7,12
0-0-0-2-3,大肌肉,大肌肉移动性活动,地上活动能力,四点跪,从四点跪转换到侧坐,暂无,暂无,暂无,暂无,7,12
0-0-0-2-4,大肌肉,大肌肉移动性活动,地上活动能力,四点跪,四点跪时一只手向前伸，取玩具,暂无,小婴儿玩具,在四点跪位置，用玩具引儿童伸出一只手去拿,伸手离地到肩膀水平位置，拿玩具后，手部要有控制地收回按地面，左右手都要完成动作,8,9
0-0-0-2-5,大肌肉,大肌肉移动性活动,地上活动能力,直跪,扶着家具直跪,暂无,暂无,暂无,暂无,7,12
0-0-0-2-6,大肌肉,大肌肉移动性活动,地上活动能力,直跪,直跪向前走,暂无,暂无,暂无,暂无,12,24
0-0-0-2-7,大肌肉,大肌肉移动性活动,地上活动能力,腿伸直坐,双手扶着地面坐，上身倾向前,暂无,暂无,暂无,暂无,0,6
0-0-0-3-0,大肌肉,大肌肉移动性活动,地上活动能力,腿伸直坐,不需双手扶着地面伸腿直坐,暂无,婴儿玩具,协助儿童扶着地面坐好，然后用玩具引他伸手拿，对儿童说：“伸手拿玩具。”,双手离地长坐30s,7,8
0-0-0-3-1,大肌肉,大肌肉移动性活动,地上活动能力,腿伸直坐,坐立时，双手伸开，上身能向两边转,暂无,暂无,暂无,暂无,7,9
0-0-0-3-2,大肌肉,大肌肉移动性活动,地上活动能力,腿伸直坐,坐着向前倒时，向前伸手扶着地面,暂无,暂无,暂无,暂无,7,8
0-0-0-3-3,大肌肉,大肌肉移动性活动,地上活动能力,腿伸直坐,坐在地上双手离地时，原地转圈,暂无,婴儿玩具,把玩具放在儿童身后，对儿童说：“转过来拿玩具。”,身体转动180度，转身时双手离地，左右两边都要完成,7,8
0-0-0-3-4,大肌肉,大肌肉移动性活动,地上活动能力,腿伸直坐,坐着向旁边倒时，向旁边伸手扶着地面,暂无,地垫,儿童双手离地坐在地垫上，评估员把其肩膀向旁边推,向旁边伸手支撑身体不会跌倒，左右两边方向都要完成,9,12
0-0-0-3-5,大肌肉,大肌肉移动性活动,地上活动能力,腿伸直坐,从仰卧翻到侧卧再坐起来,暂无,婴儿玩具,儿童在地上仰卧，用玩具引他，并说：“做起来拿玩具。”,从仰卧翻身到侧卧再坐起，左右两边都要完成,9,12
0-0-0-3-6,大肌肉,大肌肉移动性活动,地上活动能力,单膝跪,扶着家具保持单膝跪,暂无,暂无,暂无,暂无,7,12
0-0-0-3-7,大肌肉,大肌肉移动性活动,地上活动能力,单膝跪,扶着家具，从双膝跪转为单膝跪，再变成蹲，然后站起来,暂无,暂无,暂无,暂无,7,12
0-0-0-3-8,大肌肉,大肌肉移动性活动,地上活动能力,坐凳子,自己坐在矮凳上,暂无,高度到儿童膝部的凳子、儿童摇铃,协助儿童坐在凳子上，双脚着地，对儿童说：“作文题，摇摇铃。”计算儿童坐稳时的秒数,双手必须提起，不用扶着凳子30秒，一起摇摇铃,12,24
0-0-0-4-0,大肌肉,大肌肉移动性活动,地上活动能力,坐凳子,坐在高凳上保持平衡,暂无,51厘米高的椅子,协助儿童坐在椅子上，对儿童说：“坐稳。”,儿童坐在椅子上，手不扶椅子，保持平衡30秒。,12,24
0-0-0-4-1,大肌肉,大肌肉移动性活动,地上活动能力,坐凳子,坐在矮凳上原地来回转圈,暂无,暂无,暂无,暂无,12,24
0-0-0-4-2,大肌肉,大肌肉移动性活动,地上活动能力,坐凳子,坐在矮凳上弯腰拾起地上的玩具,暂无,高度到儿童膝部的凳子、儿童摇铃,儿童坐在凳子上，评估员示意儿童拾起玩具，对儿童说：“请拾起地上的玩具。”,儿童坐在凳子上，弯腰拾起地上的玩具，并且保持平衡。,12,24
0-0-0-4-3,大肌肉,大肌肉移动性活动,地上活动能力,坐凳子,坐在矮凳上自己扶着凳子站起,暂无,高度到儿童膝部的凳子,示意儿童从凳子上站起来，对儿童说：“请站起来。”,从凳子上自己站起来，并且保持平衡。,12,24
0-0-0-4-4,大肌肉,大肌肉移动性活动,地上活动能力,坐凳子,从坐在地上转换到坐在矮凳上,暂无,高度到儿童膝部的凳子,儿童坐在地上，评估员示意儿童从地上转换到坐凳子，对儿童说：“请坐在凳子上。”,自己从坐在地上转换到坐在凳子上,12,24
0-0-0-4-5,大肌肉,大肌肉移动性活动,基础移动能力,攀爬,爬上滑梯,暂无,暂无,暂无,暂无,12,24
0-0-0-4-6,大肌肉,大肌肉移动性活动,基础移动能力,攀爬,爬上直立攀架，两步一格,暂无,暂无,暂无,暂无,24,36
0-0-0-4-7,大肌肉,大肌肉移动性活动,基础移动能力,攀爬,爬下直立攀架，两步一格,暂无,暂无,暂无,暂无,24,36
0-0-0-4-8,大肌肉,大肌肉移动性活动,基础移动能力,攀爬,爬上直立攀架，一步一格,暂无,暂无,暂无,暂无,36,48
0-0-0-4-9,大肌肉,大肌肉移动性活动,基础移动能力,攀爬,爬下直立攀架，一步一格,暂无,暂无,暂无,暂无,36,48
0-0-0-4-10,大肌肉,大肌肉移动性活动,基础移动能力,站立,扶着桌子站立,暂无,高度在儿童腰部到肩膀之间的桌子,扶儿童站在桌子旁边，把有趣的玩具放在桌子上，计算站立的时间,双于扶着桌子站立30秒,8,9
0-0-0-5-0,大肌肉,大肌肉移动性活动,基础移动能力,站立,一只手扶着家具站立，另一只手玩玩具10秒,暂无,暂无,暂无,暂无,9,12
0-0-0-5-1,大肌肉,大肌肉移动性活动,基础移动能力,站立,自己站立1-2秒,暂无,暂无,暂无,暂无,9,12
0-0-0-5-2,大肌肉,大肌肉移动性活动,基础移动能力,站立,扶着儿童桌子从站立转换到坐在地上,暂无,高度在儿童腰部到肩膀之间的桌子,扶儿童站在桌子旁边，在地上用玩具吸引他，对儿童说：「坐下来玩玩具。」,慢慢扶着桌子弯膝坐在地上,10,12
0-0-0-5-3,大肌肉,大肌肉移动性活动,基础移动能力,站立,扶着儿童桌子，从双膝跪变到单膝跪，然后站起来,暂无,高度在儿童腰部到肩膀之间的桌子,儿童双膝跪在地上，把玩具放在桌子上，吸引他站起来拿，并说：「站起来拿桌子上的玩具。」,扶着桌子，从双膝跪转换到一只膝跪，再站起来,10,12
0-0-0-5-4,大肌肉,大肌肉移动性活动,基础移动能力,站立,独自站立5秒,暂无,暂无,扶儿童站立，然后放开手，数出站立的时间，并说：「站稳了，1、2、3、4、5。」,不用扶，独自站立5秒,12,24
0-0-0-5-5,大肌肉,大肌肉移动性活动,基础移动能力,站立,站立时能弯下身体拾起地上的物品,暂无,小玩具,把小玩具放在地上，吸引儿童拾起，并说：「弯腰拾起玩具玩儿」,站立时能弯腰拾起地上的物品，然后站直，并且保持平衡,12,24
0-0-0-5-6,大肌肉,大肌肉移动性活动,基础移动能力,站立,站立时向后转身,暂无,暂无,暂无,暂无,12,24
0-0-0-5-7,大肌肉,大肌肉移动性活动,基础移动能力,站立,弯腿坐在凳子上,暂无,暂无,暂无,暂无,12,24
0-0-0-5-8,大肌肉,大肌肉移动性活动,基础移动能力,站立,用手把有轮子的玩具向前拉而不掉下来,暂无,暂无,暂无,暂无,12,24
0-0-0-5-9,大肌肉,大肌肉移动性活动,基础移动能力,站立,从仰卧站起来,暂无,幼儿玩具,儿童先仰卧，评估员把玩具放在离儿童较近的高处，并说：「站起来拿玩具。」,自己从仰卧站起来,12,24
0-0-0-5-10,大肌肉,大肌肉移动性活动,基础移动能力,站立,往前面摔倒时，作出向前踏步的反应,暂无,地垫,儿童站在地垫上，评估员把他向前轻推，并说：「请站稳不要被我推倒。」,向前面踏步后，保持稳定站立,12,24
0-0-0-5-11,大肌肉,大肌肉移动性活动,基础移动能力,站立,往侧面摔倒时，作出向旁边踏步的反应,暂无,地垫,儿童站在地垫上，评估员把他向旁边轻推，并说：「请站稳不要被我推倒。」,向两边踏步后，保持稳定站立，左右两边方向都要完成,24,36
0-0-0-5-12,大肌肉,大肌肉移动性活动,基础移动能力,站立,往后面摔倒时，作出向后踏步的反应,暂无,地垫,儿童站在地垫上，评估员把他向后轻推，并说：「请站稳不要被我推倒。」,向后踏步，保持稳定站立,24,36
0-0-0-5-13,大肌肉,大肌肉移动性活动,基础移动能力,站立,摆动身体躲闪抛过来的圆球,暂无,暂无,暂无,暂无,36,48
0-0-0-6-0,大肌肉,大肌肉移动性活动,基础移动能力,蹲,蹲下保持平衡,暂无,幼儿玩具,把玩具放在地上，吸引儿童蹲下来玩玩具。,从站转换到蹲下·双手离地·并且保持平衡30秒,12,24
0-0-0-6-1,大肌肉,大肌肉移动性活动,基础移动能力,蹲,从蹲着到站起来,暂无,幼儿玩具,用玩具吸引儿童从蹲着到站起来，并说：「站起来。」,从蹲到站起来，手不用扶任何物品，站立后保持平衡,12,24
0-0-0-6-2,大肌肉,大肌肉移动性活动,基础移动能力,一只脚站,一只脚站l秒,暂无,暂无,先示范，然后给儿童计时，并说：「请模仿我抬起左/右脚，保持一只脚站立，1、2、3。」,在不扶持的情况下，左脚或者右脚一只脚站立1秒，如图所示姿势为标准,24,36
0-0-0-6-3,大肌肉,大肌肉移动性活动,基础移动能力,一只脚站,一只脚站3秒,暂无,暂无,暂无,暂无,36,48
0-0-0-7-0,大肌肉,大肌肉移动性活动,基础移动能力,一只脚站,一只脚站5秒,暂无,定时器,先示范·然后给儿童计时，并说：「请模仿我抬起左/右脚，保持一只脚站立，1、2、3、4、5。」,在不扶持的情况下，用左脚或者右脚一只脚站立5秒，如LO31图中所示姿势为标准,48,60
0-0-0-7-1,大肌肉,大肌肉移动性活动,基础移动能力,一只脚站,-只脚站，一只脚6秒，另一只脚3秒,暂无,定时器,先示范，然后给儿童计时；并说：「请模仿我拾起左/右脚，1、2、3.….·抬起另一只脚，1、2、3...」,在不扶持的情况下，左脚或者右脚一只脚站立6秒，另一只脚站立3秒，如LO31图中所示姿势为标准,60,72
0-0-0-7-2,大肌肉,大肌肉移动性活动,基础移动能力,一只脚站,一只脚站10秒,暂无,暂无,暂无,暂无,60,72
0-0-0-7-3,大肌肉,大肌肉移动性活动,基础移动能力,一只脚站,双眼闭上在没有扶持下，用左脚或者右脚单脚站8秒,暂无,暂无,暂无,暂无,60,72
0-0-0-7-4,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌站,双手垂下，用前脚掌站立,暂无,暂无,暂无,暂无,24,36
0-0-0-7-5,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌站,双手举起，高过头，用前脚掌站立不动，保持2秒,暂无,暂无,先示范，对儿童说：「双手高举过头·前脚掌站立不动，保持2秒，1、2。」,双手高举过头，前脚掌站立，保持平衡2秒，如图所示姿势,36,48
0-0-0-7-6,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌站,双手举起，高过头，用前脚掌站立不动，保持8秒,暂无,暂无,暂无,暂无,48,60
0-0-0-7-7,大肌肉,大肌肉移动性活动,基础移动能力,走路,扶着桌子横着走1.22米,暂无,高度在婴儿腰部到肩膀之间1.22米长的桌子,协助儿童双手扶着桌子站立后·用玩具吸引儿童横着走1.22米，对儿童说：「过来拿玩具°」,扶着桌子横着走1.22米，左右两边方向都要完成,7,12
0-0-0-8-0,大肌肉,大肌肉移动性活动,基础移动能力,走路,大人一只手拉着向前走,暂无,暂无,暂无,暂无,7,12
0-0-0-8-1,大肌肉,大肌肉移动性活动,基础移动能力,走路,在平地上向前走4至5步,暂无,暂无,用玩具吸引儿童向前走·并说：「走过来拿玩具°」,独自在平地上向前走4至5步,12,24
0-0-0-8-2,大肌肉,大肌肉移动性活动,基础移动能力,走路,推着手推车向前走,暂无,暂无,暂无,暂无,12,24
0-0-0-8-3,大肌肉,大肌肉移动性活动,基础移动能力,走路,双手拿着大型物品向前走,暂无,直径20厘米的塑料球(是测试物品中较轻的),示意儿童双手拿着直径20厘米的塑料球向前走3.05米，并说：「把塑料球拿过来°],双手拿着塑料球向前走3.05米远，保持平衡,12,24
0-0-0-8-4,大肌肉,大肌肉移动性活动,基础移动能力,走路,在平地上向侧面走,暂无,暂无,暂无,暂无,12,24
0-0-0-8-5,大肌肉,大肌肉移动性活动,基础移动能力,走路,在平地上向后面走5步,暂无,暂无,暂无,暂无,24,36
0-0-0-8-6,大肌肉,大肌肉移动性活动,基础移动能力,走路,上下斜坡,暂无,暂无,暂无,暂无,24,36
0-0-0-8-7,大肌肉,大肌肉移动性活动,基础移动能力,走路,弯着身体走路·穿过高过胸部的横栏,暂无,可以调校高度的横栏,先示范，再示意儿童模仿，说：「看着我做一次」，然后弯腰走过横栏,蹲下身体，弯腰走过高度到胸部的横栏，双手不用扶着地面或者横栏,24,36
0-0-0-8-8,大肌肉,大肌肉移动性活动,基础移动能力,走路,在平地上向后面走3.05米,暂无,玩具,先示范，再示意儿童模仿，说：「看着我做一次」，然后向后走拿玩具,在平地上倒后走3.05米远，必须背向目标，不能侧身或横着走,36,48
0-0-0-8-9,大肌肉,大肌肉移动性活动,基础移动能力,走路,在1.8米长、20厘米宽、离地 10厘米的平衡木上向前走,暂无,暂无,暂无,暂无,24,36
0-0-0-8-10,大肌肉,大肌肉移动性活动,基础移动能力,走路,在1.8 米长15 厘米宽的平衡木上·向前最少走3步,暂无,暂无,暂无,暂无,24,36
0-1-0-0-0,大肌肉,大肌肉移动性活动,基础移动能力,走路,在15厘米宽的平衡木上双脚交替走路,暂无,宽15厘米、长1.83米的平衡木，高度离地少于10厘米,先示范，再示意儿童模仿，说：「看着我做一次」，然后沿着平衡木走,在15厘米宽的平衡木上，双脚交替走1.83米远，如图所示步姿要求，脚尖和脚跟之间可以分开,24,36
0-1-0-0-1,大肌肉,大肌肉移动性活动,基础移动能力,走路,在10厘米宽的平衡木上双脚交替走路,暂无,宽10厘米、长1.83米的平衡木，高度离地小于10厘米,先示范，再示意儿童模仿，说：「看着我做一次」，然后沿着平衡木行向前走。,在10厘米宽的平衡木上，双脚交替走，如图所示步姿要求，脚尖和脚跟之间可以分开,36,48
0-1-0-0-2,大肌肉,大肌肉移动性活动,基础移动能力,走路,在2.5厘米宽的直线上走4步,暂无,暂无,暂无,暂无,36,48
0-1-0-0-3,大肌肉,大肌肉移动性活动,基础移动能力,走路,保持在直径1.2米、2.5厘米宽的圆形轨迹上走路,暂无,暂无,暂无,暂无,36,48
0-1-0-0-4,大肌肉,大肌肉移动性活动,基础移动能力,走路,在5厘米宽的平衡木上走路,暂无,暂无,暂无,暂无,48,60
0-1-0-0-5,大肌肉,大肌肉移动性活动,基础移动能力,走路,在 2.5厘米宽的直线上连续走10步,暂无,暂无,暂无,暂无,48,60
0-1-0-1-0,大肌肉,大肌肉移动性活动,基础移动能力,走路,脚尖贴着脚跟向前走3.05米,暂无,在地面贴上2条相距3.05米远的61厘米长胶带条,评估员站在一条横线后，先示范，再示意儿童模仿，说：「双手叉腰，脚尖挨着脚跟向前走，从这条线走到那条线。」,双手放在腰间，脚尖挨着脚跟向前走3.05米远，如图所示步姿要求,48,60
0-1-0-1-1,大肌肉,大肌肉移动性活动,基础移动能力,走路,脚尖贴着脚跟向后走3 米,暂无,暂无,暂无,暂无,60,72
0-1-0-2-0,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌走路,双手扶持下用前脚掌走 5至 10 步,暂无,暂无,暂无,暂无,24,36
0-1-0-2-1,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌走路,一只手扶持下用前脚掌走5至10步,暂无,暂无,暂无,暂无,24,36
0-1-0-2-2,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌走路,用前脚掌走3.05米,暂无,在地面贴上2条相距3.05米远的61厘米长胶带条,评估员站在一条横线后面，先示范，再示意儿童模仿·说：「前脚掌站立，脚跟保持离地，从这条线走到那条线。」,用前脚掌走3.05米远，脚跟保持离地,36,48
0-1-0-2-3,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌走路,用前脚掌向后走 3 米,暂无,暂无,暂无,暂无,36,48
0-1-0-2-4,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌走路,用前脚掌在直线上走9至15步,暂无,暂无,暂无,暂无,36,48
0-1-0-2-5,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌走路,用前脚掌在直线上走12至15步,暂无,暂无,暂无,暂无,48,60
0-1-0-2-6,大肌肉,大肌肉移动性活动,基础移动能力,前脚掌走路,用前脚掌在直线上走15步,暂无,暂无,暂无,暂无,48,60
0-1-0-3-0,大肌肉,大肌肉移动性活动,基础移动能力,脚跟走路,双手扶持下用脚跟走5至10步,暂无,暂无,暂无,暂无,24,36
0-1-0-3-1,大肌肉,大肌肉移动性活动,基础移动能力,脚跟走路,一只手扶持下用脚跟走5至10步,暂无,暂无,暂无,暂无,36,48
0-1-0-4-0,大肌肉,大肌肉移动性活动,基础移动能力,脚跟走路,用脚跟走3.05米,暂无,暂无,先示范，再示意儿童模仿，说：「用脚跟走，脚掌保持离地，从这边走到那边。」,用脚跟在地上走3.05米远,48,60
0-1-0-4-1,大肌肉,大肌肉移动性活动,进阶移动能力,跨步,跨进呼拉圈,暂无,暂无,暂无,暂无,24,36
0-1-0-4-2,大肌肉,大肌肉移动性活动,进阶移动能力,跨步,跨过 10 厘米高的横栏,暂无,10厘米高的横栏,把玩具放在10厘米高的横栏的一边，吸引儿童跨过栏，并说：「过来拿玩」,自己正面跨过10厘米高的横栏,24,36
0-1-0-5-0,大肌肉,大肌肉移动性活动,进阶移动能力,跨步,跨过 30 厘米宽的空隙,暂无,30厘米宽的塑料垫,把玩具放在30厘米宽的塑料垫的另一边，吸引儿童跨过去拿，并说：「脚跨过塑料垫·到那边拿玩具。],正面跨过，脚趾向前，不能侧身横着跳过，不能踩在塑料垫上,36,48
0-1-0-5-1,大肌肉,大肌肉移动性活动,进阶移动能力,跨步,跨过与膝盖一样高的横栏,暂无,暂无,暂无,暂无,36,48
0-1-0-5-2,大肌肉,大肌肉移动性活动,进阶移动能力,跨步,向后跨过5厘米高的横栏,暂无,暂无,暂无,暂无,36,48
0-1-0-5-3,大肌肉,大肌肉移动性活动,进阶移动能力,跨步,向左或向右跨过 10 厘米高的横栏,暂无,暂无,暂无,暂无,36,48
0-1-0-5-4,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,爬上 4 级楼梯,暂无,10厘米高台阶，最少61厘米宽、20厘米深,把玩具放在楼梯上，吸引儿童爬上，并说：「爬上来拿玩具。」,自己从地上爬到第4级台阶上,12,24
0-1-0-5-5,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,双手扶着同一边栏杆，侧着身体两步一级上楼梯,暂无,暂无,暂无,暂无,12,24
0-1-0-6-0,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,一只手扶着栏杆，另一只手拉着大人，两步级上楼梯,暂无,暂无,暂无,暂无,12,24
0-1-0-6-1,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,一只手扶着栏杆，两步一级上楼梯,暂无,暂无,暂无,暂无,24,36
0-1-0-6-2,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,两步一级上楼梯,暂无,10厘米高台阶，最少61厘米宽、20厘米深,先示范，再示意儿童模仿，并说：「自己两步一级上楼梯。」,正面自己两步一级上4级楼梯，双手不能扶着栏杆,24,36
0-1-0-7-0,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,踏上10.16 厘米高的平台,暂无,10厘米高平台，最少61厘米宽、20厘米深,先示范，再示意儿童模仿，并说：「踏上平台。」,正面踏上平台并且保持平衡,24,36
0-1-0-7-1,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,一只手扶着栏杆，一步一级上楼梯,暂无,暂无,暂无,暂无,24,36
0-1-0-7-2,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,一步一级上楼梯,暂无,10厘米高台阶，最少61厘米宽丶20厘米深,先示范，再示意儿童模仿，并说：「一只脚先上一级楼梯，然后另一只脚再上一级楼梯。」,正面自己一步一级上4级楼梯，双手不能扶着栏杆,36,48
0-1-0-7-3,大肌肉,大肌肉移动性活动,进阶移动能力,上楼梯,跑上楼梯 (15厘米高的台阶),暂无,暂无,暂无,暂无,48,60
0-1-0-8-0,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,倒后爬下 4 级楼梯,暂无,10厘米高台阶，最少61厘米宽、20厘米深,把玩具放在地上，吸引儿童爬下楼梯，并说：「倒后爬下来拿玩具。」,自己从第4级台阶倒后爬到地上玩,12,24
0-1-0-8-1,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,双手扶着同一边栏杆，侧着身体两步一级下楼梯 (4-6 级）,暂无,暂无,暂无,暂无,12,24
0-1-0-9-0,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,一只手扶着栏杆，另一只手拉着大人;两步一级下楼梯 (4-6 级),暂无,暂无,暂无,暂无,12,24
0-1-0-9-1,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,一只手扶着栏杆，两步一级下楼梯,暂无,暂无,暂无,暂无,24,36
0-1-0-9-2,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,两步一级下楼梯,暂无,10厘米高台阶最少61厘米宽、20厘米深,先示范，再示意儿童模仿，并说：「自己两步一级下楼梯。」,正面自己两步一级下4级楼梯，双手不能扶着栏杆,24,36
0-1-0-9-3,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,走下10.16 厘米高的平台,暂无,10厘米高平台，最少61厘米宽、20厘米深,先示范，再示意儿童模仿，并说：「踏下平台。」,正面踏下平台并且保持平衡,24,36
0-1-0-9-4,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,一只手扶着栏杆，一步一级下楼梯,暂无,暂无,暂无,暂无,36,48
0-1-0-9-5,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,一步一级下楼梯,暂无,10厘米高台阶，最少61厘米宽、20厘米深,先示范，再示意儿童模仿，并说：「一只脚先下一级楼梯，然后另一脚再下一级楼梯。」,正面自己一步一级下4级楼梯，双手不能着扶栏杆,36,48
0-1-0-9-6,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,自己坐扶手电梯,暂无,暂无,暂无,暂无,36,48
0-1-1-0-0,大肌肉,大肌肉移动性活动,进阶移动能力,下楼梯,跑下楼梯,暂无,暂无,暂无,暂无,48,60
0-1-1-0-1,大肌肉,大肌肉移动性活动,进阶移动能力,双脚跳,没有扶持下，在弹动着的弹床上站稳,暂无,暂无,暂无,暂无,12,24
0-1-1-0-2,大肌肉,大肌肉移动性活动,进阶移动能力,双脚跳,站立时跟着大人重复蹲下-站立的动作,暂无,暂无,暂无,暂无,12,24
0-1-1-0-3,大肌肉,大肌肉移动性活动,进阶移动能力,双脚跳,站立时跟着大人或音乐，在弹床或地上连续快速地屈伸双腿,暂无,暂无,暂无,暂无,12,24
0-1-1-0-4,大肌肉,大肌肉移动性活动,进阶移动能力,双脚跳,双手扶持下在弹床上跳,暂无,暂无,暂无,暂无,12,24
0-1-1-0-5,大肌肉,大肌肉移动性活动,进阶移动能力,双脚跳,双手扶持下在地上跳,暂无,暂无,暂无,暂无,24,36
0-1-1-1-0,大肌肉,大肌肉移动性活动,进阶移动能力,双脚跳,一只手扶持下在地上跳,暂无,暂无,暂无,暂无,24,36
